YEAR,STATE,ELSED_GF,ELSED_FF,ELSED_OF,ELSED_BF,ELSED_TOT,HGRED_GF,HGRED_FF,HGRED_OF,HGRED_BF,HGRED_TOT,TANF_GF,TANF_FF,TANF_OF,TANF_BF,TANF_TOT,OTCA_GF,OTCA_FF,OTCA_OF,OTCA_BF,OTCA_TOT,MCAID_GF,MCAID_FF,MCAID_OF,MCAID_BF,MCAID_TOT,CORR_GF,CORR_FF,CORR_OF,CORR_BF,CORR_TOT,TRANS_GF,TRANS_FF,TRANS_OF,TRANS_BF,TRANS_TOT,OTHER_GF,OTHER_FF,OTHER_OF,OTHER_BF,OTHER_TOT,ELCAP GF,ELCAP FF,ELCAP OF,ELCAP BF,ELCAP TOT,HEDCP_GF,HEDCP_FF,HEDCP_OF,HEDCP_BF,HEDCP_TOT,CORCP_GF,CORCP_FF,CORCP_OF,CORCP_BF,CORCP_TOT,TRCAP_GF,TRCAP_FF,TRCAP_OF,TRCAP_BF,TRCAP_TOT,HSCAP_GF,HSCAP_FF,HSCAP_OF,HSCAP_BF,HSCAP_TOT,ENVCP_GF,ENVCP_FF,ENVCP_OF,ENVCP_BF,ENVCP_TOT,OTHCP_GF,OTHCP_FF,OTHCP_OF,OTHCP_BF,OTHCP_TOT,GFTOT_CAPI,FFTOT_CAPI,OFTOT_CAPI,BFTOT_CAPI,TOTAL_CAPI,GFTOT_CAP,FFTOT_CAP,OFTOT_CAP,BFTOT_CAP,TOTAL_CAP,SALES,PIT,CIT,GAMING,OTHER,TOTAL REV,TANF FF,TANF OF,TANF BF,TANF TOT,,,,,,,,,,
1991,Massachusetts,1458.0,0.0,0.0,0.0,1458.0,609.0,0.0,45.0,47.0,701.0,387.0,371.0,0.0,0.0,758.0,334.0,0.0,0.0,0.0,334.0,1442.0,1323.0,0.0,0.0,2765.0,404.0,2.0,38.0,265.0,709.0,406.0,264.0,144.0,162.0,976.0,6107.0,1083.0,711.0,506.0,8407.0,,,,,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,38.0,38.0,0.0,351.0,0.0,144.0,495.0,0.0,0.0,0.0,76.0,76.0,0.0,0.0,0.0,209.0,209.0,0.0,0.0,0.0,308.0,308.0,11147.0,3043.0,938.0,980.0,16108.0,0.0,351.0,0.0,820.0,1171.0,,,,,,,,,,,,,,,,,,,,
1991,Michigan,1008.0,600.0,2194.0,0.0,3802.0,1447.0,3.0,0.0,0.0,1450.0,525.6,578.3,163.8,0.0,1267.7,353.7,16.9,0.0,0.0,370.6,1132.2,1833.0,418.6,0.0,3383.8,786.0,2.2,20.0,0.0,808.2,0.0,329.0,1355.0,0.0,1684.0,2522.0,1421.0,1411.0,0.0,5354.0,,,,,0.0,89.1,0.0,0.0,0.0,89.1,1.3,0.0,0.0,0.0,1.3,0.0,290.0,158.0,0.0,448.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,11.0,134.9,6.8,43.0,0.0,184.7,7774.5,4783.4,5562.4,0.0,18120.3,226.3,297.8,210.0,0.0,734.1,,,,,,,,,,,,,,,,,,,,
1991,Minnesota,2127.2,231.1,3.2,7.3,2368.8,1338.8,32.4,7.7,34.5,1413.4,104.3,171.3,0.0,0.0,275.6,105.0,0.0,0.0,0.0,105.0,695.5,867.8,0.0,0.0,1563.3,142.6,3.1,7.4,6.8,159.9,12.3,75.0,1048.6,3.5,1139.4,2494.4,629.6,632.0,176.5,3932.5,,,,,0.0,38.8,1.9,0.1,34.5,75.3,2.2,0.2,0.2,6.8,9.4,0.0,42.3,372.6,3.5,418.4,0.0,0.0,0.0,0.0,0.0,2.4,0.7,10.8,42.4,56.3,17.3,5.7,9.1,141.4,173.5,7020.1,2010.3,1698.9,228.6,10957.9,60.7,50.8,392.8,228.6,732.9,,,,,,,,,,,,,,,,,,,,
1991,Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1991,Missouri,1534.1,279.6,500.8,0.0,2314.5,610.3,5.0,26.4,10.7,652.4,97.7,143.7,0.0,0.0,241.4,3.3,0.8,0.0,0.0,4.1,308.2,730.0,142.9,0.0,1181.1,168.5,1.3,11.4,0.8,182.0,2.8,8.2,751.8,1.7,764.5,1484.1,537.3,803.6,32.9,2857.9,,,,,0.0,8.0,0.0,0.0,10.7,18.7,1.7,0.0,0.0,0.8,2.5,0.0,0.0,751.8,1.7,753.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,23.4,32.0,7.7,1.4,33.5,8.3,50.9,4209.0,1705.9,2236.9,46.1,8197.9,17.4,10.0,785.3,44.9,857.6,,,,,,,,,,,,,,,,,,,,
1991,Montana,47.7,7.7,368.8,0.0,424.2,112.0,11.5,51.1,0.0,174.6,11.0,29.3,0.6,0.0,40.9,2.0,0.0,0.0,0.0,2.0,54.0,158.4,7.0,0.0,219.4,28.4,0.8,3.6,0.0,32.8,5.4,108.8,155.4,18.2,287.8,197.0,201.1,374.0,1.2,773.3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.5,517.6,960.5,19.4,1955.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1991,Nebraska,433.1,97.0,2.1,0.0,532.2,347.7,57.2,364.2,14.8,783.9,21.5,34.8,0.0,0.0,56.3,6.2,0.5,0.0,0.0,6.7,125.6,233.5,0.0,0.0,359.1,52.1,0.7,4.4,0.0,57.2,4.9,2.1,340.6,0.0,347.6,403.2,260.1,327.1,0.0,990.4,,,,,0.0,19.7,1.7,24.2,14.8,60.4,0.8,0.0,0.8,0.0,1.6,0.0,0.0,327.1,0.0,327.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,5.5,0.0,0.0,15.6,1394.3,685.9,1038.4,14.8,3133.4,30.6,7.2,352.1,14.8,404.7,,,,,,,,,,,,,,,,,,,,
1991,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1991,New Hampshire,46.4,53.3,35.0,7.0,141.7,71.6,2.2,19.5,5.7,99.0,18.7,20.9,2.2,0.0,41.8,4.5,0.6,3.0,0.0,8.1,98.8,169.2,70.4,0.0,338.4,30.3,0.0,2.6,3.6,36.5,2.6,61.8,169.5,0.9,234.8,420.1,151.8,103.9,24.7,700.5,,,,,0.0,0.9,0.0,0.0,5.7,6.6,0.1,0.0,0.0,3.6,3.7,0.3,0.0,60.2,0.9,61.4,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,8.4,9.3,5.2,1.4,0.0,26.6,33.2,693.0,459.8,406.1,41.9,1600.8,7.1,1.7,60.2,45.2,114.2,,,,,,,,,,,,,,,,,,,,
1991,New Jersey,3721.7,385.8,0.0,0.0,4107.5,889.5,16.1,0.0,9.1,914.7,191.2,239.2,0.0,0.0,430.4,132.7,62.3,0.0,0.0,195.0,1145.7,1381.8,459.7,0.0,2987.2,616.2,4.6,0.0,12.8,633.6,716.9,335.1,31.6,17.5,1101.1,4772.4,832.2,1499.3,251.7,7355.6,,,,,0.0,0.4,0.0,0.0,9.1,9.5,4.1,0.0,0.0,12.8,16.9,331.0,293.8,31.6,17.5,673.9,0.0,0.0,0.0,0.0,0.0,5.1,105.6,0.0,200.0,310.7,16.5,0.0,0.0,51.7,68.2,12186.3,3257.1,1990.6,291.1,17725.1,357.1,399.4,31.6,291.1,1079.2,,,,,,,,,,,,,,,,,,,,
