plan,plan2,state,fye,2021_return,arr,mva_billions,mva_billions_20,source
Connecticut Teachers Retirement System (TRS),Connecticut Teachers Retirement System,Connecticut,30-Jun-20,,0.069,,18.286419,
Delaware State Employees' Pension Plan (PERS),Delaware State Employees’ Pension Plan,Delaware,30-Jun-20,,0.07,,9.639,
Employee Retirement System of Hawaii (ERS),Employee Retirement System of Hawaii,Hawaii,30-Jun-20,,0.07,,17.385,
Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund,Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund,Texas,31-Aug-20,,0.075,,0.947324194,
Florida Retirement System (FRS),Florida Retirement System,Florida,1-Jul-20,0.2946,0.072,199.6,161.6,https://www.sbafla.com/fsb/Portals/FSB/Content/Performance/Trustees/2021/20210630_Trustees_Performance_Report.pdf?ver=2021-08-25-124618-543
Georgia Employees' Retirement System (GAERS),Georgia Employees’ Retirement System,Georgia,30-Jun-20,,0.0725,,13.502286,
Georgia Teachers Retirement System (GATRS),Georgia Teachers Retirement System,Georgia,30-Jun-20,,0.0725,,81.162,
Idaho Public Employee Retirement System (PERS),Idaho Public Employee Retirement System,Idaho,1-Jul-20,0.276,0.07,23.5,17.39206058,https://www.pionline.com/pension-funds/idaho-public-employees-reports-276-return-fiscal-year
Illinois Municipal Employees Retirement System,Illinois Municipal Employees Retirement System,Illinois,31-Dec-20,,0.075,,51.12729804,
Illinois State Employees Retirement System (SERS),Illinois State Employees Retirement System,Illinois,30-Jun-20,,0.068,,19.19143289,
Illinois Teachers Retirement System (TRS),Illinois State University Retirement System,Illinois,30-Jun-20,,0.07,,52.31647777,
Illinois State University Retirement System (SURS),Illinois Teachers Retirement System,Illinois,30-Jun-20,0.238,0.068,23.641,22.434,https://www.surs.org/sites/default/files/pdfsx/invupdate.pdf
Indiana Public Employees Retirement Fund (PERF)*,Indiana Public Employees Retirement Fund,Indiana,30-Jun-20,0.231,0.0675,38,30.657831,https://www.pionline.com/pension-funds/indiana-public-retirement-system-posts-net-231-return-fiscal-year
Indiana Teachers Retirement System (TRS)*,Indiana State Teachers Retirement Fund,Indiana,30-Jun-20,0.231,0.0675,38,30.657831,https://www.pionline.com/pension-funds/indiana-public-retirement-system-posts-net-231-return-fiscal-year
Iowa Municipal Fire and Police Retirement System (MFPRSI),Iowa Municipal Fire and Police Retirement System,Iowa,1-Jul-20,,0.075,,2.613,
Iowa Public Employees' Retirement System (IPERS),Iowa Public Employees' Retirement System,Iowa,30-Jun-20,0.296,0.07,42.9,34,https://www.pionline.com/pension-funds/iowa-public-employees-tops-benchmark-296-return
Kansas Public Employees' Retirement System (PERS),Kansas Public Employees' Retirement System,Kansas,31-Dec-20,,0.075,,20.60687401,
Kentucky County Employees Retirement System,Kentucky County Employees Retirement System,Kentucky,30-Jun-20,,0.0625,,9.42,
Kentucky Employees Retirement System (ERS),Kentucky Employees Retirement System,Kentucky,30-Jun-20,,0.0525,,3.01,
Kentucky Teachers' Retirement System (TRS)***,Kentucky Teachers' Retirement System,Kentucky,30-Jun-20,0.2994,0.075,25.7,20.717,https://www.pionline.com/pension-funds/kentucky-teachers-chalks-nearly-30-return
Louisiana Municipal Police Retirement System,Louisiana Municipal Police Retirement System,Louisiana,30-Jun-20,0.261,0.071,2.7,2.189,https://www.pionline.com/pension-funds/louisiana-municipal-police-captures-261-fiscal-year-return
Louisiana Parochial Employee Retirement System,Louisiana Parochial Employee Retirement System,Louisiana,31-Dec-20,,,,,
Louisiana School Employees' Retirement System (LSERS),Louisiana School Employees’ Retirement System,Louisiana,30-Jun-20,,0.07,,1.94,
Louisiana State Employees Retirement System (LASERS),Louisiana State Employees Retirement System,Louisiana,30-Jun-20,0.3458,0.074,14.716,11.421,https://lasersonline.org/wp-content/uploads/2021/09/LASERS-Valuation-2021.pdf
Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts*,Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts,Maine,30-Jun-20,0.265,0.068,18.1,14.989,https://www.mainepers.org/investments/performance/
Maine Public Employees Retirement System (PERS) Defined Benefit Plan*,Maine Public Employees Retirement System (PERS) Defined Benefit Plan,Maine,30-Jun-20,0.265,0.068,18.1,14.989,https://www.mainepers.org/investments/performance/
Maryland State Retirement and Pension System (ERS & TRS),Maryland State Employees’ Retirement System,Maryland,30-Jun-20,0.267,0.074,67.9,54.24,https://sra.maryland.gov/post/maryland-state-retirement-and-pension-system-earns-historic-267-during-fy-2021
Massachusetts State Employees' Retirement System (MSERS),Massachusetts State Employees’ Retirement System,Massachusetts,30-Jun-20,,,,,
Massachusetts Teachers' Retirement System (MTRS),Massachusetts Teachers’ Retirement System,Massachusetts,30-Jun-20,,,,,
Michigan Municipal Retirement System,Michigan Municipal Retirement System,Michigan,30-Jun-20,,,,,
Michigan Public School Employees Retirement System (MIPSERS),Michigan Public School Employees Retirement System,Michigan,30-Jun-20,,0.068,,50.857,
Michigan State Employees Retirement System (SERS),Michigan State Employees Retirement System,Michigan,30-Jun-20,,0.067,,12.397184,
Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund*,Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund,Minnesota,30-Jun-20,,0.075,,64.559,
Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund*,Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund,Minnesota,30-Jun-20,,0.075,,64.559,
Minnesota State Retirement System (MSRS) General State Employees Retirement Plan*,Minnesota State Retirement System (MSRS) General State Employees Retirement Plan,Minnesota,30-Jun-20,,0.075,,64.559,
Minnesota Teachers Retirement Association (TRA)*,Minnesota Teachers Retirement Association,Minnesota,30-Jun-20,,0.075,,64.559,
Missouri Local Government Employees Retirement System (LAGERS),Missouri Local Government Employees Retirement System,Missouri,30-Jun-20,,0.055,,8.854,
Missouri MoDOT & Patrol Employees' Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,Missouri,30-Jun-20,,0.07,,2.423,
Missouri Public Education Employee Retirement System (PEERS)*,Missouri Public Education Employee Retirement System,Missouri,30-Jun-20,,0.075,,5.019,
Missouri Public School Retirement System (PSRS)*,Missouri Public School Retirement System,Missouri,30-Jun-20,,0.075,,40.594,
Montana Public Employees' Retirement System - Defined Benefit Retirement Plan (PERS),Mosers State Employees Pension Plan,Montana,30-Jun-20,0.2772,0.075,7.196468897,5.906,https://investmentmt.com/_shared/Investments/QuarterlyPerformanceReports/2021Q2-WebsiteBook.pdf
Montana Teachers' Retirement System (TRS),Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan,Montana,30-Jun-20,0.2771,0.077,5.08476815,4.22,https://investmentmt.com/_shared/Investments/QuarterlyPerformanceReports/2021Q2-WebsiteBook.pdf
Missouri State Employees Pension Plan (MOSERS),Montana Teachers' Retirement System,Missouri,28-Feb-20,0.264,0.07,9,8.075,https://mosers.org/docs/default-source/funding/investments/investments-performance-report.pdf?sfvrsn=7ff2b45b_30
Nebraska School Retirement System (NPERS),Nebraska School Retirement System,Nebraska,30-Jun-20,,0.075,,12.215,
Nevada Public Employees Retirement System (NVPERS)***,Nevada Public Employees Retirement System,Nevada,30-Jun-20,0.273,0.075,58.3,44.28425258,https://www.pionline.com/pension-funds/nevada-public-employees-returns-273-fiscal-year-above-its-benchmark
New Hampshire Retirement System (NHRS),New Hampshire Retirement System,New Hampshire,30-Jun-20,,0.073,,9.171,
New Jersey Public Employees Retirement System (PERS)*,New Jersey Public Employees Retirement System,New Jersey,1-Jul-20,,0.075,,29.848,
New Jersey Teachers' Pension & Annuity Fund (TRS)*,New Jersey Teachers’ Pension & Annuity Fund,New Jersey,30-Jun-20,,0.075,,26.967,
New Mexico Educational Retirement Board (NMERB),New Mexico Educational Retirement Board,New Mexico,30-Jun-20,0.2876,0.07,15.8,13.5,https://www.nmerb.org/2021/08/18/3-6-billion-return-for-the-fiscal-year/
New Mexico Public Employees Retirement Association (NMPERA),New Mexico Public Employees Retirement Association,New Mexico,30-Jun-20,0.2402,0.0725,17.6,15.508,https://www.nmpera.org/assets/uploads/home-banner/2021-Q2-Performance-Report.pdf
New York State & Local Employees Retirement System*,New York State & Local Employees Retirement System,New York,1-Apr-20,,0.068,,182.718,
New York State & Local Police & Fire Retirement System*,New York State & Local Police & Fire Retirement System,New York,1-Apr-20,,0.068,,32.386,
New York State Teachers' Retirement System (TRS),New York State Teachers' Retirement System,New York,30-Jun-20,,0.0725,,122.5,
North Carolina Local Government Retirement System*,North Carolina Local Government Retirement System,North Carolina,31-Dec-20,,0.07,,101.374,
North Carolina Teachers' and State Employees' Retirement System (TSERS)*,North Carolina Teachers' and State Employees' Retirement System,North Carolina,31-Dec-20,,0.07,,101.374,
North Dakota Public Employees Retirement System (PERS),North Dakota Public Employees Retirement System,North Dakota,1-Jul-20,,0.0725,,3.108743053,
North Dakota Teachers' Fund for Retirement (TRS),North Dakota Teachers' Fund for Retirement,North Dakota,1-Jul-20,,0.0775,,2.530657411,
Ohio Police and Fire Pension Fund,Ohio Police and Fire Pension Fund,Ohio,1-Jan-21,,0.08,,16.515,
Ohio Public Employees Retirement System (OPERS) Traditional Defined Benefit Pension Plan,Ohio Public Employees Retirement System (OPERS) Traditional Defined Benefit Pension Plan,Ohio,31-Dec-20,,0.072,,91.122,
Ohio School Employees Retirement System (SERS),Ohio School Employees Retirement System,Ohio,30-Jun-20,,0.075,,15.437,
Ohio State Teachers Retirement System (TRS),Ohio State Teachers Retirement System,Ohio,1-Jul-20,0.2916,0.075,94.8,74.096,https://www.strsoh.org/news/board-news/2021/august-board-news.html
Oklahoma Public Employees Retirement System (PERS),Oklahoma Public Employees Retirement System,Oklahoma,1-Jul-20,0.278,0.065,10.991,9.958,https://www.opers.ok.gov/wp-content/uploads/2021/10/Report-Actuarial-Valuation-OPERS-2021.pdf
Oklahoma Police Pension and Retirement System,Oklahoma Police Pension and Retirement System,Oklahoma,1-Jul-20,,0.07,,2.619,
Oklahoma Teachers Retirement System (TRS),Oklahoma Teachers Retirement System,Oklahoma,30-Jun-20,,0.075,,17.28,
Oregon Public Employees Retirement System (PERS),Oregon Public Employees Retirement System,Oregon,31-Dec-20,,0.072,,70.204,
Pennsylvania Municipal Retirement System,Pennsylvania Municipal Retirement System,Pennsylvania,1-Jan-21,,,,,
Pennsylvania Public School Employees' Retirement System (PSERS),Pennsylvania Public School Employees' Retirement System,Pennsylvania,30-Jun-20,,0.0725,,59,
Pennsylvania State Employees' Retirement System (SERS),Pennsylvania State Employees' Retirement System,Pennsylvania,31-Dec-20,,0.07,,23.49,
Police & Firemens Retirement System Of New Jersey (PFRS)*,Police & Firemens Retirement System Of New Jersey,New Jersey,30-Jun-20,,0.075,,"27.792420945	",
Public Employees Retirement System of Nevada - Police and Firefighters Plan,Public Employees Retirement System of Nevada - Police and Firefighters Plan,Nevada,30-Jun-20,,0.075,,44.28425258,
Public Employees' Retirement System of Mississippi (PERS),Public Employees' Retirement System of Mississippi,Mississippi,30-Jun-20,0.3271,0.075,35.61,28.207,https://www.pers.ms.gov/Content/InvestmentReport/investment_report.pdf
Rhode Island Employees Retirement System (ERS),Rhode Island Employees Retirement System,Rhode Island,30-Jun-20,,0.07,,6.36,
Rhode Island Municipal Employees Retirement System,Rhode Island Municipal Employees Retirement System,Rhode Island,30-Jun-20,,0.07,,9.5899,
South Carolina Police Officers Retirement System (PORS)*,South Carolina Police Officers Retirement System,South Carolina,1-Jul-20,,0.0725,,4.73,
South Carolina Retirement Systems (SCRS)*,South Carolina Retirement Systems,South Carolina,1-Jul-20,0.286,0.0725,39.2,27.239,https://www.pionline.com/pension-funds/south-carolina-surpasses-benchmark-286-return-fiscal-year
South Dakota Retirement System (RS),South Dakota Retirement System,South Dakota,30-Jun-20,0.2203,0.065,14.619,12.473,https://sdic.sd.gov/assets/performance-update.aspx
Teachers' Retirement System of Louisiana (TRSL),Teachers’ Retirement System of Louisiana,Louisiana,30-Jun-20,0.3492,0.074,27.724,21.221,https://fluxconsole.com/files/item/202/123321/TRSL_2021%20Actuarial%20Valuation%20Report.pdf
"Tennessee Consolidated Retirement System, Public Employee Retirement System (LECOS)*","Tennessee Consolidated Retirement System, Public Employee Retirement System",Tennessee,30-Jun-20,,0.0725,,52.1,
"Tennessee Consolidated Retirement System, Teachers Pension Plan (TCRS)*","Tennessee Consolidated Retirement System, Teachers Pension Plan",Tennessee,30-Jun-20,,0.0725,,52.1,
Texas County and District Retirement System,Texas County and District Retirement System,Texas,31-Dec-20,,0.08,,30.5538,
Texas Employees Retirement System (TERS),Texas Employees Retirement System,Texas,31-Aug-20,0.2912,0.075,33.9,27.351,https://ers.texas.gov/about-ers/ers-investments-overview/performance
Texas Municipal Retirement System (TMRS)**,Texas Municipal Retirement System,Texas,31-Dec-20,,0.0675,,31.814,
Texas Teacher Retirement System (TRS),Texas Teacher Retirement System,Texas,31-Aug-20,,0.0725,,157.978,
University of California Retirement System (UCRP),University of California Retirement System,California,1-Jul-20,,0.0675,,70.278963,
"Utah Retirement Systems, Noncontributory Retirement System (URS)","Utah Retirement Systems, Noncontributory Retirement System",Utah,1-Jan-21,,0.0695,,5.570069,
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",Utah,1-Jan-21,,0.0695,,1.768437,
Vermont State Retirement System (VSRS)***,Vermont State Retirement System,Vermont,30-Jun-20,0.246,0.075,5.7,3.814,https://www.pionline.com/pension-funds/vermont-returns-246-fiscal-year-topping-benchmark
Vermont State Teachers' Retirement System (VSTRS)***,Vermont State Teachers' Retirement System,Vermont,30-Jun-20,0.246,0.075,5.7,3.814,https://www.pionline.com/pension-funds/vermont-returns-246-fiscal-year-topping-benchmark
Virginia Retirement System (VRS),Virginia Retirement System,Virginia,30-Jun-20,0.275,0.0675,101.8,77.393,https://www.varetire.org/news-releases/2021/vrs-reports-27.5-percent-for-fiscal-year-2021
Washington Law Enforcement Officers' and Firefighters Retirement System (LEOFF)*,Washington Law Enforcement Officers and Firefighters Plan 2,Washington,30-Jun-20,,0.074,,110,
Washington Public Employees' Retirement System (PERS)*,Washington Public Employees’ Retirement System,Washington,30-Jun-20,,0.074,,110,
Washington School Employees' Retirement System (SERS)*,Washington School Employees Plan 2/3,Washington,30-Jun-20,,0.075,,110,
Washington Teachers Retirement System (TRS)*,Washington Teachers Plan 2/3,Washington,30-Jun-20,,0.075,,110,
West Virginia Public Employees Retirement System (PERS),West Virginia Public Employees Retirement System,West Virginia,1-Jul-20,,0.075,,6.895386,
West Virginia Teachers' Retirement System (TRS),West Virginia Teachers’ Retirement System,West Virginia,1-Jul-20,,0.075,,7.837,
Wisconsin Retirement System (RS),Wisconsin Retirement System,Wisconsin,31-Dec-20,,,,,
"Wyoming Retirement System, Public Employees' Pension Plan (WRS)","Wyoming Retirement System, Public Employees’ Pension Plan",Wyoming,1-Jan-21,,0.07,,7.790558842,
